models,Accuracy,Precision,Recall,AUC_ROC
Logistic Regression,0.840137466,0.789227403,0.637339916,0.878731565
Logistic Regression_RS CV,0.837738812,0.797625777,0.615351068,0.877188224
Bagged_LR,0.840451099,0.790463682,0.637012305,0.879199266
Boosted_LR,0.806719379,0.757047874,0.523567458,0.855314685
Logistic Regression_OC,0.82844805,0.7164903,0.708678587,0.794234601
Logistic Regression_RS CV_OC,0.82844805,0.7164903,0.708678587,0.794234601
Bagged_LR_OC,0.829625752,0.717419921,0.713039686,0.796321675
Boosted_LR_OC,0.812614499,0.78528827,0.516790231,0.728109081
