models,Accuracy,Precision,Recall,AUC_ROC
Decision Tree Classifier,0.779131016,0.631316346,0.632950771,0.737394676
Decision Tree Classifier with Randomsearch CV,0.814996565,0.687100894,0.703958129,0.785702197
boosted_DT,0.811863072,0.754999298,0.552239501,0.832885064
Decision Tree Classifier_OC,0.804501439,0.660635304,0.716528565,0.779371032
Decision Tree Classifier with Randomsearch CV_OC,0.811954068,0.683972912,0.693817468,0.778204303
boosted_DT_OC,0.857890605,0.758458244,0.772350632,0.833455182
